image name (matching Raise-1k),Prompt,Midjourney aspect ratio,Midjourney image choice,Glide/SD 1.x CFG scale,SD14 scale,Glide upsample temperature,Glide choice,SD 1.3 choice,SD 1.4 choice,sd2 resolution,sdxl width,sdxl height,sd2/sdxl steps,sd2/sdxl sampler,sd2/sdxl guider,sd2/sdxl guidance if vanilla scale,sdxl use refiner?,sdxl refiner steps,sdxl refiner sampler,sdxl refiner guider,sdxl refiner guidance if vanilla scale,sdxl finish denoising,dalle3 ar (not guaranteed),Firefly styles,Firefly aspect ratio,Firefly guide strength,Firefly creativity,Firefly exif mode,Firefly manual exif aperture,Firefly manual exif shutter speed,Firefly manual exif FOV,Firefly generation URL
r0d203f37t,"this view is of a lake, in the style of viennese actionism, himalayan vistas, dotted, light sky-blue and light yellow, canon 50mm f/0.95, topographical views, geodesic structures",134:89,4,6.015000436,4.6073392,0.998,2,3,2,768,1088,896,46,DPMPP2MSampler,IdentityGuider,,TRUE,45,HeunEDMSampler,VanillaCFG,,FALSE,1:2,photographed_through_window,landscape,0,10,manual,22,0.016,16,"https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=this+view+is+of+a+lake%2C+in+the+style+of+viennese+actionism%2C+himalayan+vistas%2C+dotted%2C+light+sky-blue+and+light+yellow%2C+canon+50mm+f/0.95%2C+topographical+views%2C+geodesic+structures&modelInputVersion=v2&aspectRatio=landscape&creativity=10&guideStrength=0&exif={""mode""%3A""manual""%2C""details""%3A{""aperture""%3A22%2C""focal_length""%3A16%2C""shutter_speed""%3A0.016}}&style=photographed_through_window"
r0d56c1d7t,"photo of one tree with leaves, in the style of swiss style, charming, idyllic rural scenes, 32k uhd, cross processing, terraced cityscapes, site-specific works, mountainous vistas",134:89,2,2.994101377,8.543748474,0.999,2,4,3,768,1344,768,40,EulerAncestralSampler,VanillaCFG,1.232396043,TRUE,41,LinearMultistepSampler,VanillaCFG,3.807774469,FALSE,4:5,dramatic_light+wide_angle,landscape,0,10,manual,2.8,10,69,"https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=photo+of+one+tree+with+leaves%2C+in+the+style+of+swiss+style%2C+charming%2C+idyllic+rural+scenes%2C+32k+uhd%2C+cross+processing%2C+terraced+cityscapes%2C+site-specific+works%2C+mountainous+vistas&modelInputVersion=v2&aspectRatio=landscape&creativity=10&guideStrength=0&exif={""mode""%3A""manual""%2C""details""%3A{""aperture""%3A2.8%2C""focal_length""%3A69%2C""shutter_speed""%3A10}}&style=dramatic_light&style=wide_angle"
r0d89edd8t,"a group of seaguls stand on a wooden jetty, in the style of urban interventions, bentwood, shiny eyes, naturalistic poses, havencore, pensive poses, raw, confrontational figures, shiny eyes, associated press photo, white and beige, lively group compositions, tumblewave,  majestic ports, unconventional poses, die brücke, american urban life, telephoto lens, bentwood, photo taken with nikon d750",77:51,4,5.507135723,6.137963772,0.996,3,2,1,768,1472,704,41,DPMPP2MSampler,VanillaCFG,9.107543628,FALSE,,,,,,2:3,macrophotography,landscape,82,5,auto,,,,"https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=a+group+of+seaguls+stand+on+a+wooden+jetty%2C+in+the+style+of+urban+interventions%2C+bentwood%2C+shiny+eyes%2C+naturalistic+poses%2C+havencore%2C+pensive+poses%2C+raw%2C+confrontational+figures%2C+shiny+eyes%2C+associated+press+photo%2C+white+and+beige%2C+lively+group+compositions%2C+tumblewave%2C++majestic+ports%2C+unconventional+poses%2C+die+brücke%2C+american+urban+life%2C+telephoto+lens%2C+bentwood%2C+photo+taken+with+nikon+d750&modelInputVersion=v2&aspectRatio=landscape&creativity=5&guideStrength=82&exif={""mode""%3A""auto""}&style=macrophotography"
r0e04cc91t,"a green finnish lake between trees and rocks near a rocky shore reflecting the unseen mountains of the background, in the style of light emerald and dark aquamarine, observational photography, kitsch and camp charm, delicate washes, finnish nature scenes, finnish landscapes, colorful imagery, intensely detailed, ephemeral, whimsical wilderness, naturecore, lakecore, forestcore",77:51,2,3.692171625,7.687480918,0.999,4,2,0,512,960,1024,42,EulerEDMSampler,IdentityGuider,,TRUE,36,DPMPP2MSampler,VanillaCFG,,FALSE,4:5,divine+closeup,widescreen,100,6,auto,,,,"https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=a+green+finnish+lake+between+trees+and+rocks+near+a+rocky+shore+reflecting+the+unseen+mountains+of+the+background%2C+in+the+style+of+light+emerald+and+dark+aquamarine%2C+observational+photography%2C+kitsch+and+camp+charm%2C+delicate+washes%2C+finnish+nature+scenes%2C+finnish+landscapes%2C+colorful+imagery%2C+intensely+detailed%2C+ephemeral%2C+whimsical+wilderness%2C+naturecore%2C+lakecore%2C+forestcore&modelInputVersion=v2&aspectRatio=widescreen&creativity=6&guideStrength=100&exif={""mode""%3A""auto""}&style=divine&style=closeup"
r0e5dfc8et,"two wooden rowboats with flowers and two elderly people on them in a lush swamp canal next to a duck and lush grass and swamp trees on the canal banks, in the style of saint-omer, colorful gardens, romantic sensibility, swampcore, duckcore, elaborate, orderly arrangements, romantic gestures, floating structures, serene and tranquil scenes",77:51,2,8.626260757,3.192411489,0.996,2,3,1,512,704,1408,44,EulerAncestralSampler,IdentityGuider,,FALSE,,,,,,4:3,,portrait,50,2,auto,,,,"https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=two+wooden+rowboats+with+flowers+and+two+elderly+people+on+them+in+a+lush+swamp+canal+next+to+a+duck+and+lush+grass+and+swamp+trees+on+the+canal+banks%2C+in+the+style+of+saint-omer%2C+colorful+gardens%2C+romantic+sensibility%2C+swampcore%2C+duckcore%2C+elaborate%2C+orderly+arrangements%2C+romantic+gestures%2C+floating+structures%2C+serene+and+tranquil+scenes&modelInputVersion=v2&aspectRatio=portrait&creativity=2&guideStrength=50&exif={""mode""%3A""auto""}"
r0e7b407bt,"roman tiled mosaic floor in the museum, in the style of goosepunk, nature-based patterns, nature motifs, natural fibers, the bechers' typologies, light red and bronze, grocery art, lively tableaus, crisp detailing",134:89,2,4.135235682,5.042073758,0.999,3,3,2,768,1088,960,35,EulerAncestralSampler,VanillaCFG,6.676997567,TRUE,48,LinearMultistepSampler,VanillaCFG,7.342645903,TRUE,5:4,knolling,widescreen,50,10,manual,16,0.066,300,"https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=roman+tiled+mosaic+floor+in+the+museum%2C+in+the+style+of+goosepunk%2C+nature-based+patterns%2C+nature+motifs%2C+natural+fibers%2C+the+bechers'+typologies%2C+light+red+and+bronze%2C+grocery+art%2C+lively+tableaus%2C+crisp+detailing&modelInputVersion=v2&aspectRatio=widescreen&creativity=10&guideStrength=50&exif={""mode""%3A""manual""%2C""details""%3A{""aperture""%3A16%2C""focal_length""%3A300%2C""shutter_speed""%3A0.066}}&style=knolling"
r0eab8214t,"a wooden table with alchemy/herborism items on it, in the style of anthropological, distillation of forms, historically accurate, material experimentation, villagecore, red and brown, nostalgic rural life depictions",89:134,3,8.814982153,3.060628303,0.999,2,1,2,768,1024,1024,44,HeunEDMSampler,IdentityGuider,,TRUE,36,LinearMultistepSampler,IdentityGuider,,FALSE,2:3,grainy_film+vibrant_colors+studio_light+photographed_through_window,square,0,7,manual,5.6,0.066,247,"https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=a+wooden+table+with+alchemy/herborism+items+on+it%2C+in+the+style+of+anthropological%2C+distillation+of+forms%2C+historically+accurate%2C+material+experimentation%2C+villagecore%2C+red+and+brown%2C+nostalgic+rural+life+depictions&modelInputVersion=v2&aspectRatio=square&creativity=7&guideStrength=0&exif={""mode""%3A""manual""%2C""details""%3A{""aperture""%3A5.6%2C""focal_length""%3A247%2C""shutter_speed""%3A0.066}}&style=grainy_film&style=vibrant_colors&style=studio_light&style=photographed_through_window"
r0eb07be3t,"a tall building with large vertical banners and ornate windows, in the style of 19th century french academy, large-scale portraits, feminine affluence, les nabis, dark white and dark beige, eclectic curatorial style, rubens, large grey building at the louvre, en plein air, dark gray, eclectic curatorial style",77:51,2,2.681349597,5.847579147,0.998,1,3,0,768,1088,896,39,DPMPP2MSampler,VanillaCFG,3.5720541,TRUE,44,EulerAncestralSampler,VanillaCFG,2.819273374,TRUE,4:5,,square,87,9,manual,4,0.125,20,"https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=a+tall+building+with+large+vertical+banners+and+ornate+windows%2C+in+the+style+of+19th+century+french+academy%2C+large-scale+portraits%2C+feminine+affluence%2C+les+nabis%2C+dark+white+and+dark+beige%2C+eclectic+curatorial+style%2C+rubens%2C+large+grey+building+at+the+louvre%2C+en+plein+air%2C+dark+gray%2C+eclectic+curatorial+style&modelInputVersion=v2&aspectRatio=square&creativity=9&guideStrength=87&exif={""mode""%3A""manual""%2C""details""%3A{""aperture""%3A4%2C""focal_length""%3A20%2C""shutter_speed""%3A0.125}}"
r0ebdd2d2t,"the city wall is in the background, in the style of mountainous vistas, streetscape, classicist approach, passage, dappled, soft mist, absinthe culture, passage, majestic ports, kodak ektar, en plein air, fantastical street, abrupt, streetscape, paved street, harmony of city and nature, historical instpiration",89:134,1,4.75528111,2.629335252,0.999,3,5,2,768,1472,704,44,DPMPP2SAncestralSampler,IdentityGuider,,TRUE,35,LinearMultistepSampler,VanillaCFG,,FALSE,3:2,bokeh+muted+golden_hour,widescreen,0,9,manual,2,0.5,170,"https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=the+city+wall+is+in+the+background%2C+in+the+style+of+mountainous+vistas%2C+streetscape%2C+classicist+approach%2C+passage%2C+dappled%2C+soft+mist%2C+absinthe+culture%2C+passage%2C+majestic+ports%2C+kodak+ektar%2C+en+plein+air%2C+fantastical+street%2C+abrupt%2C+streetscape%2C+paved+street%2C+harmony+of+city+and+nature%2C+historical+instpiration&modelInputVersion=v2&aspectRatio=widescreen&creativity=9&guideStrength=0&exif={""mode""%3A""manual""%2C""details""%3A{""aperture""%3A2%2C""focal_length""%3A170%2C""shutter_speed""%3A0.5}}&style=bokeh&style=muted&style=golden_hour"
r0eea5a7et,"the scenery is green, in the style of wollensak 127mm f/4.7 ektar, topographical views, opacity and translucency, iso 200, mountainous vistas, matte photo, camera noise",77:51,2,7.189756401,5.152769565,0.997,3,0,0,768,960,1024,40,EulerEDMSampler,VanillaCFG,6.067162168,FALSE,,,,,,2:3,shot_from_below,square,100,2,manual,2.8,0.0006,77,"https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=the+scenery+is+green%2C+in+the+style+of+wollensak+127mm+f/4.7+ektar%2C+topographical+views%2C+opacity+and+translucency%2C+iso+200%2C+mountainous+vistas%2C+matte+photo%2C+camera+noise&modelInputVersion=v2&aspectRatio=square&creativity=2&guideStrength=100&exif={""mode""%3A""manual""%2C""details""%3A{""aperture""%3A2.8%2C""focal_length""%3A77%2C""shutter_speed""%3A0.0006}}&style=shot_from_below"
r0fae3dbdt,"people walking down the narrow street through a roz of buildings in the background before a small courtyard and darkbrown brick wall between the buildings, in the style of terracotta roman art and architecture, light maroon and orange, romanticized views, raw street photography, richly layered, emancicore, gritty urban landscapes, muted colours",89:134,1,7.951844955,3.409549258,0.997,4,1,0,768,1152,896,45,DPMPP2SAncestralSampler,VanillaCFG,3.691095508,FALSE,,,,,,2:1,pastel_colors+low_lighting+shallow_depth_of_field,portrait,50,6,manual,2.8,0.125,278,"https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=people+walking+down+the+narrow+street+through+a+roz+of+buildings+in+the+background+before+a+small+courtyard+and+darkbrown+brick+wall+between+the+buildings%2C+in+the+style+of+terracotta+roman+art+and+architecture%2C+light+maroon+and+orange%2C+romanticized+views%2C+raw+street+photography%2C+richly+layered%2C+emancicore%2C+gritty+urban+landscapes%2C+muted+colours&modelInputVersion=v2&aspectRatio=portrait&creativity=6&guideStrength=50&exif={""mode""%3A""manual""%2C""details""%3A{""aperture""%3A2.8%2C""focal_length""%3A278%2C""shutter_speed""%3A0.125}}&style=pastel_colors&style=low_lighting&style=shallow_depth_of_field"
r0faffef3t,"the flowers are in the field near a stream, in the style of laowa 100mm f/2.8 2x ultra macro apo, light purple and dark emerald, celtic knotwork, goerz hypergon 6.5mm f/8, 32k uhd, matte photo, wet-on-wet blending",51:77,3,4.056088933,8.992247411,0.996,2,2,0,768,1088,960,41,HeunEDMSampler,IdentityGuider,,TRUE,39,HeunEDMSampler,IdentityGuider,,TRUE,4:3,cool_colors+dramatic_light,portrait,0,3,auto,,,,"https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=the+flowers+are+in+the+field+near+a+stream%2C+in+the+style+of+laowa+100mm+f/2.8+2x+ultra+macro+apo%2C+light+purple+and+dark+emerald%2C+celtic+knotwork%2C+goerz+hypergon+6.5mm+f/8%2C+32k+uhd%2C+matte+photo%2C+wet-on-wet+blending&modelInputVersion=v2&aspectRatio=portrait&creativity=3&guideStrength=0&exif={""mode""%3A""auto""}&style=cool_colors&style=dramatic_light"
r0fbb5bc1t,"a snowcovered mountain and trees, in the style of light yellow and dark amber, rollei prego 90, light amber and emerald, captures the essence of nature, spiky mounds, off-focus part of the yellow tree in the foreground, mountains in the background, exacting precision, forestpunk, adventurecore, snow scenes, mountainous vistas, light orange and white and gray and dark emerald, spiky mounds",51:77,1,7.565090841,4.705363116,1,3,4,2,768,1664,576,40,DPMPP2MSampler,IdentityGuider,,TRUE,42,HeunEDMSampler,VanillaCFG,,TRUE,1:1,monochromatic+multiexposure,portrait,100,2,auto,,,,"https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=a+snowcovered+mountain+and+trees%2C+in+the+style+of+light+yellow+and+dark+amber%2C+rollei+prego+90%2C+light+amber+and+emerald%2C+captures+the+essence+of+nature%2C+spiky+mounds%2C+off-focus+part+of+the+yellow+tree+in+the+foreground%2C+mountains+in+the+background%2C+exacting+precision%2C+forestpunk%2C+adventurecore%2C+snow+scenes%2C+mountainous+vistas%2C+light+orange+and+white+and+gray+and+dark+emerald%2C+spiky+mounds&modelInputVersion=v2&aspectRatio=portrait&creativity=2&guideStrength=100&exif={""mode""%3A""auto""}&style=monochromatic&style=multiexposure"
r0fbd0c71t,"in the foreground three papier-mâché anumal scultpures with floral patterns: a teal-background-floral-ochre papier-mâché pig sculpture and an oversized papier-mâché floral-patterned teal-ochre shadowed frog are facing each other white the papier-mâché red paisley dog is mounting gard looking at the camera, an old classical carpeted room with large windows with strong sunlight, golden walls, crimson velvet curtains, gold and crimson velvet chairs around one round wood table in the foreground and two other in the background, a large couch of same style as the chairs crimson velvet gold contours, in the style of baroque animals, animalier, elaborate drapery, animal motifs, grandiose environments, use of fabric",77:51,1,3.323966203,3.630845061,0.999,1,2,2,512,704,1408,39,DPMPP2MSampler,VanillaCFG,1.457146631,TRUE,41,EulerAncestralSampler,IdentityGuider,2.637263862,TRUE,5:4,,widescreen,0,10,manual,1.2,0.0006,37,"https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=in+the+foreground+three+papier-mâché+anumal+scultpures+with+floral+patterns:+a+teal-background-floral-ochre+papier-mâché+pig+sculpture+and+an+oversized+papier-mâché+floral-patterned+teal-ochre+shadowed+frog+are+facing+each+other+white+the+papier-mâché+red+paisley+dog+is+mounting+gard+looking+at+the+camera%2C+an+old+classical+carpeted+room+with+large+windows+with+strong+sunlight%2C+golden+walls%2C+crimson+velvet+curtains%2C+gold+and+crimson+velvet+chairs+around+one+round+wood+table+in+the+foreground+and+two+other+in+the+background%2C+a+large+couch+of+same+style+as+the+chairs+crimson+velvet+gold+contours%2C+in+the+style+of+baroque+animals%2C+animalier%2C+elaborate+drapery%2C+animal+motifs%2C+grandiose+environments%2C+use+of+fabric&modelInputVersion=v2&aspectRatio=widescreen&creativity=10&guideStrength=0&exif={""mode""%3A""manual""%2C""details""%3A{""aperture""%3A1.2%2C""focal_length""%3A37%2C""shutter_speed""%3A0.0006}}"
r0fbf62f8t,"green stone wall on the road, in the style of italian landscapes, die brücke, mountainous vistas, uhd image, pentax k1000, organic stone carvings, frequent use of yellow",51:77,2,3.83597305,6.094278209,0.999,2,3,0,768,960,1024,34,DPMPP2SAncestralSampler,IdentityGuider,,TRUE,41,EulerAncestralSampler,VanillaCFG,,FALSE,9:16,,landscape,48,10,manual,2,1,130,"https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=green+stone+wall+on+the+road%2C+in+the+style+of+italian+landscapes%2C+die+brücke%2C+mountainous+vistas%2C+uhd+image%2C+pentax+k1000%2C+organic+stone+carvings%2C+frequent+use+of+yellow&modelInputVersion=v2&aspectRatio=landscape&creativity=10&guideStrength=48&exif={""mode""%3A""manual""%2C""details""%3A{""aperture""%3A2%2C""focal_length""%3A130%2C""shutter_speed""%3A1}}"
r0fd69c12t,"a mountain with a few pine trees, in the style of site-specific works, cold and detached atmosphere, ricoh r1, panorama, light-filled landscapes, smokey background, swiss style",134:89,2,8.985267245,4.952276363,0.999,3,2,0,768,1152,896,31,EulerAncestralSampler,VanillaCFG,8.098936191,TRUE,42,HeunEDMSampler,IdentityGuider,2.367948541,FALSE,3:2,bokeh,portrait,48,5,manual,8,0.125,262,"https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=a+mountain+with+a+few+pine+trees%2C+in+the+style+of+site-specific+works%2C+cold+and+detached+atmosphere%2C+ricoh+r1%2C+panorama%2C+light-filled+landscapes%2C+smokey+background%2C+swiss+style&modelInputVersion=v2&aspectRatio=portrait&creativity=5&guideStrength=48&exif={""mode""%3A""manual""%2C""details""%3A{""aperture""%3A8%2C""focal_length""%3A262%2C""shutter_speed""%3A0.125}}&style=bokeh"
